-33.95,16.76,12.20
-39.43,9.59,20.72
-27.04,-4.40,11.56
-10.88,-7.12,-3.70
22.12,-15.43,-21.45
35.91,-34.56,-23.94
30.43,-24.27,-20.61
14.90,-13.20,-14.70
-2.39,-1.05,-7.47
-34.64,21.92,12.32
-43.98,15.40,22.96
-27.24,-1.35,7.67
-10.19,-12.00,-7.80
19.46,-19.24,-24.96
37.06,-32.19,-28.99
30.75,-29.92,-23.51
16.46,-12.13,-17.65
-7.48,6.42,-6.31
-29.87,24.03,11.77
-38.05,17.02,18.59
-31.80,-8.43,9.04
-10.90,-14.58,-7.44
23.44,-19.17,-24.05
31.75,-33.08,-25.20
24.92,-25.01,-21.46
12.40,-12.21,-14.82
-13.37,10.07,-0.01
-35.15,20.68,18.83
-41.06,10.31,19.11
-25.24,-8.92,2.60
-4.70,-14.98,-15.11
31.39,-24.40,-30.46
35.99,-32.84,-28.23
31.36,-20.40,-23.09
10.81,-9.66,-15.50
-11.87,3.83,-4.19
-37.91,30.68,18.01
-42.92,6.42,24.04
-26.98,-8.74,6.55
-7.00,-10.58,-15.59
36.39,-24.55,-30.64
36.20,-39.83,-23.52
23.78,-20.46,-19.07
2.83,-11.95,-11.49
-16.72,7.63,-0.13
-38.24,18.99,16.28
-25.74,5.00,10.09
-10.22,-6.20,-1.40
2.37,-13.42,-8.00
22.60,-21.13,-16.55
26.29,-29.60,-17.08
17.50,-23.23,-13.70
-0.96,-9.26,-5.73
-21.77,4.37,5.23
-33.97,11.74,15.35
-21.81,6.42,8.25
-9.45,-9.88,-1.27
8.28,-10.48,-14.97
21.53,-24.44,-22.03
25.57,-26.81,-22.28
16.29,-18.09,-16.64
2.28,-8.02,-7.38
-17.82,12.45,6.59
-34.50,11.73,17.91
-29.99,-8.26,12.41
-14.24,-13.17,-0.68
14.53,-13.90,-20.60
24.48,-27.50,-25.17
26.55,-26.44,-22.38
15.50,-13.25,-15.73
-11.45,7.59,-2.14
-41.04,9.04,25.09
-34.60,6.09,26.45
-21.51,-0.72,6.49
5.66,-8.60,-16.77
26.51,-30.86,-28.02
33.13,-32.10,-28.50
24.21,-25.96,-21.99
2.32,-11.01,-13.54
-23.19,8.17,2.82
-44.45,16.73,21.76
-41.63,3.39,16.41
-24.16,-0.62,0.63
6.21,-4.72,-16.20
29.55,-27.95,-26.19
34.84,-32.34,-26.50
28.92,-21.15,-22.04
8.95,-12.96,-14.12
-21.75,10.31,3.71
-45.69,16.17,26.82
-38.53,-2.03,20.37
-21.25,-5.71,4.73
3.89,-6.62,-16.97
26.85,-22.40,-30.80
38.57,-23.57,-33.21
34.12,-19.31,-29.06
12.51,-13.44,-20.70
-10.43,0.31,-10.21
-44.23,17.01,14.06
-57.55,1.52,35.77
-35.81,-3.91,14.58
-10.08,1.53,-11.14
27.04,-20.42,-33.38
45.29,-35.02,-34.19
39.04,-26.53,-29.07
14.69,-16.86,-20.12
-16.06,7.10,-4.68
-49.98,12.45,22.86
-43.22,1.30,22.65
-27.80,-0.11,9.53
0.63,-7.21,-12.90
25.34,-19.21,-30.64
35.33,-26.50,-35.33
33.32,-23.37,-33.46
10.74,-12.56,-21.69
-24.42,5.18,6.22
-40.26,2.19,24.12
-49.65,3.97,33.93
-37.08,2.05,19.02
-11.49,4.62,-6.58
13.40,-13.51,-26.73
38.69,-25.74,-39.43
45.87,-26.41,-38.15
31.30,-19.93,-30.96
0.51,-7.77,-18.82
-31.75,2.15,5.85
-45.76,5.05,22.48
-47.69,7.24,28.21
-28.50,5.33,10.79
-2.78,-2.15,-9.75
23.32,-22.38,-26.83
37.25,-32.52,-31.87
32.27,-27.53,-27.92
15.85,-14.69,-20.71
-8.39,-4.80,-7.74
-35.05,11.93,10.35
-55.15,15.60,29.64
-41.47,5.76,16.16
-16.90,10.24,-6.23
5.48,-14.78,-25.01
30.69,-33.94,-35.45
41.35,-37.88,-36.53
33.94,-24.87,-28.44
13.91,-11.69,-19.18
-9.37,10.08,-9.81
-42.35,20.03,13.34
-49.01,15.25,21.38
-36.75,-9.30,9.10
-19.01,-3.52,-2.09
7.94,-18.60,-18.95
34.40,-30.53,-32.05
42.88,-25.57,-34.23
32.36,-17.76,-27.43
14.09,-13.12,-22.35
-18.92,14.48,-6.89
-50.06,14.89,15.61
-53.24,9.92,23.12
-35.35,5.77,7.69
-10.69,-2.19,-10.01
11.23,-23.86,-21.31
35.33,-36.16,-29.93
40.77,-33.52,-29.16
28.03,-22.03,-25.62
6.82,-8.50,-18.73
-16.13,4.80,-6.41
-41.19,14.29,11.37
-51.87,11.45,20.71
-42.97,0.07,13.57
-21.87,-0.49,-2.89
0.62,-8.32,-17.09
20.72,-27.60,-28.52
37.03,-30.46,-33.58
40.78,-20.06,-32.74
27.24,-13.51,-27.35
3.16,-6.85,-16.61
-22.34,4.43,-3.01
-49.86,13.03,16.88
-50.24,11.04,19.60
-31.05,11.51,5.67
-8.65,-2.31,-9.39
20.22,-22.31,-23.77
37.14,-37.29,-29.40
38.16,-30.95,-27.83
20.75,-23.71,-23.03
-0.36,-5.01,-15.14
-33.40,8.69,2.35
-53.66,11.53,21.60
-50.78,4.45,21.68
-32.19,6.20,5.38
-4.43,-2.49,-13.25
18.38,-17.71,-26.71
44.95,-24.53,-33.92
51.83,-22.91,-36.19
32.36,-21.67,-31.12
4.53,-3.34,-21.59
-26.59,1.10,-3.04
-44.75,-4.17,12.08
-52.58,8.55,24.56
-44.05,7.38,19.17
-17.77,7.68,-2.84
-1.36,-13.71,-15.01
22.03,-24.72,-27.27
39.45,-30.42,-32.66
41.53,-28.69,-31.65
23.03,-23.02,-27.27
-7.83,-3.90,-14.35
-35.36,7.30,4.71
-52.52,13.80,24.50
-51.08,7.26,25.27
-25.48,12.32,2.63
-10.69,-2.32,-11.41
18.58,-14.38,-29.36
47.34,-29.88,-36.89
48.51,-24.42,-33.52
30.00,-23.41,-26.65
2.28,-7.53,-17.25
-20.11,-4.35,-6.18
-41.20,3.18,8.27
-58.50,10.45,22.80
-48.42,4.36,15.19
-17.21,4.52,-6.89
12.44,-12.59,-23.02
40.29,-25.02,-29.25
48.08,-34.12,-27.22
31.25,-28.45,-23.79
-2.98,-6.61,-16.57
-42.13,9.36,8.96
-50.53,8.33,21.22
-34.32,2.74,11.00
-4.34,4.63,-7.58
15.82,-19.88,-18.29
35.75,-30.69,-25.47
39.68,-28.93,-25.80
26.28,-21.01,-24.33
3.25,-10.36,-19.39
-27.89,1.22,-5.32
-44.10,11.14,6.25
-54.07,22.70,12.96
-40.61,17.52,6.71
-16.59,1.69,-7.59
-1.11,-11.15,-17.82
19.04,-26.54,-29.56
33.66,-30.23,-33.04
35.50,-22.71,-28.43
22.50,-13.58,-22.25
6.71,-7.31,-16.18
-15.48,-0.30,-3.20
-40.99,8.37,15.42
-54.60,11.97,25.18
-37.72,0.86,10.64
-9.56,3.59,-11.02
13.51,-19.35,-26.33
36.39,-34.28,-36.30
44.55,-27.58,-35.65
30.44,-17.28,-28.99
6.69,-9.69,-21.67
-16.67,5.02,-11.27
-52.69,15.57,16.66
-56.45,19.41,22.87
-41.03,0.98,10.98
-19.15,-1.76,-5.06
7.81,-8.45,-22.62
31.15,-37.57,-35.11
46.52,-34.06,-35.30
34.11,-21.05,-30.21
10.42,-11.60,-23.38
-18.94,-1.32,-7.37
-48.63,12.17,16.71
-52.27,12.26,28.60
-36.98,4.31,18.30
-14.97,4.27,-3.54
4.83,-13.25,-21.72
29.01,-32.55,-34.27
41.59,-37.60,-36.41
30.23,-27.10,-31.03
9.08,-13.83,-22.39
-13.46,0.06,-8.19
-33.61,16.27,12.72
-49.31,22.88,29.19
-38.02,4.11,16.69
-23.78,1.12,2.23
0.32,-11.57,-18.28
20.84,-32.76,-31.09
34.77,-36.74,-34.14
28.79,-26.41,-29.10
11.60,-12.69,-21.04
-9.37,3.69,-5.00
-24.60,16.44,14.69
-34.02,14.36,28.54
-29.12,4.79,21.13
-17.04,0.38,4.96
-0.60,-14.25,-13.80
17.69,-31.58,-28.56
29.76,-37.92,-31.13
24.91,-24.48,-27.09
6.51,-8.58,-17.75
-16.70,2.58,2.25
-28.76,11.17,17.89
