0.68,-7.85,-8.58
0.45,-7.57,-7.85
0.28,-7.82,-7.51
0.17,-8.85,-7.47
0.32,-8.22,-7.49
0.31,-8.16,-6.67
0.23,-9.19,-6.43
0.46,-8.11,-6.48
0.11,-7.20,-4.70
-0.31,-7.96,-3.98
-0.57,-8.84,-3.23
-0.52,-8.37,-2.57
-1.19,-8.06,-0.80
-1.24,-7.13,0.57
-1.83,-8.00,1.40
-2.61,-8.41,2.56
-2.44,-8.26,3.14
-2.10,-7.36,3.36
-2.12,-7.57,3.21
-2.54,-7.70,3.72
-1.68,-6.98,2.78
-2.53,-5.64,5.07
-1.59,-5.67,3.51
-2.49,-6.95,3.58
-3.46,-5.90,4.98
-3.98,-3.73,7.21
-4.03,-4.37,7.61
-4.21,-5.50,7.22
-3.12,-4.27,6.24
-3.80,-3.08,8.76
-3.67,-3.19,8.82
-4.02,-3.93,9.75
-3.68,-3.45,8.77
-3.33,-3.13,8.31
-3.11,-1.90,7.76
-3.40,-2.35,7.68
-3.57,-3.13,7.05
-4.02,-2.76,8.01
-4.34,-2.65,8.23
-4.82,-3.04,8.28
-4.89,-3.41,7.86
-5.20,-3.42,8.22
-5.29,-3.60,8.29
-4.96,-3.41,8.18
-3.99,-3.12,7.17
-4.07,-3.11,7.13
-4.37,-4.46,6.34
-4.81,-4.65,6.73
-4.47,-4.76,6.40
-4.28,-4.64,6.07
-4.57,-5.32,6.59
-3.42,-6.03,4.71
-2.11,-5.14,3.59
-2.21,-5.43,3.52
-2.89,-6.35,3.39
-2.96,-7.72,2.74
-2.46,-7.03,2.28
-1.07,-6.97,-0.33
-1.46,-8.09,-0.75
-1.42,-10.22,-1.91
-1.11,-8.97,-2.23
-1.66,-8.13,-1.28
-1.36,-8.26,-3.16
-1.16,-8.62,-3.83
-1.19,-8.67,-4.22
-1.22,-7.89,-4.59
-1.24,-7.94,-5.20
-0.86,-8.79,-6.50
-0.59,-8.57,-6.81
-0.27,-6.90,-7.13
-1.66,-6.16,-5.47
-1.39,-7.16,-6.66
-0.95,-8.18,-8.47
0.27,-7.28,-9.75
1.09,-5.24,-10.45
0.97,-4.88,-9.92
0.37,-6.10,-10.03
0.54,-5.85,-10.66
1.24,-3.43,-11.12
0.61,-2.95,-11.20
0.58,-4.05,-11.67
0.04,-4.16,-11.71
0.60,-2.04,-11.73
0.42,-3.21,-12.47
0.43,-3.84,-12.81
0.53,-2.02,-12.05
0.93,-1.23,-12.10
1.55,-2.42,-13.80
1.19,-2.65,-13.72
0.63,-1.27,-12.52
0.58,-1.33,-12.27
1.06,-2.56,-13.13
1.55,-3.26,-13.90
1.19,-2.45,-13.06
0.26,-0.91,-11.49
0.58,-2.75,-12.03
0.97,-5.05,-12.67
1.13,-5.20,-12.42
2.30,-1.09,-11.38
1.84,-1.37,-10.27
2.35,-4.37,-11.28
1.85,-6.15,-11.20
1.73,-5.97,-10.45
1.61,-4.38,-9.53
2.22,-4.03,-9.17
2.47,-4.13,-9.13
1.94,-6.16,-8.71
1.39,-7.32,-8.10
1.31,-7.48,-7.80
1.54,-8.21,-7.84
0.93,-7.51,-6.10
0.66,-7.14,-5.05
0.18,-7.78,-3.30
1.01,-7.94,-3.65
0.39,-8.34,-3.13
-0.62,-8.54,-2.50
-1.21,-7.51,-0.62
-1.99,-8.04,0.25
-1.93,-9.21,0.12
-1.69,-9.57,-0.24
-2.25,-8.46,0.27
-2.65,-7.58,0.87
-2.95,-7.72,1.37
-3.17,-7.96,1.11
-3.73,-7.54,1.38
-4.33,-7.01,1.94
-4.80,-6.85,1.92
-5.36,-7.18,1.63
-6.63,-7.58,2.18
-6.93,-6.67,2.83
-6.75,-6.11,2.98
-6.66,-5.84,2.89
-6.61,-6.05,2.82
-6.65,-5.94,2.50
-7.58,-6.12,3.05
-7.30,-6.28,3.04
-7.22,-6.29,3.12
-7.20,-5.72,3.22
-7.20,-6.51,2.72
-7.69,-5.79,3.19
-7.94,-6.12,3.51
-7.84,-6.26,3.49
-7.05,-5.60,3.22
-7.14,-5.69,3.37
-7.02,-6.24,3.00
-6.97,-5.92,3.33
-6.55,-6.37,2.86
-6.43,-6.30,2.84
-6.11,-5.98,2.66
-5.94,-6.56,2.55
-5.20,-6.54,1.97
-5.33,-7.00,2.17
-5.16,-6.78,2.14
-4.50,-6.78,1.50
-4.26,-7.47,1.53
-3.91,-7.62,1.09
-3.49,-7.62,0.99
-2.93,-7.61,0.90
-3.10,-7.81,0.83
-2.70,-8.72,0.26
-2.19,-8.90,-0.15
-2.07,-7.87,0.08
-1.51,-8.40,0.01
-1.88,-8.59,-0.60
-1.07,-9.30,-2.22
-0.33,-9.71,-2.86
0.06,-9.37,-2.77
-0.46,-9.28,-2.13
0.01,-9.33,-2.71
1.12,-8.75,-3.88
0.97,-8.82,-4.20
0.58,-8.85,-4.07
0.39,-8.66,-4.08
0.90,-8.82,-5.28
0.91,-8.52,-5.72
0.77,-8.91,-5.89
1.22,-8.61,-6.55
0.78,-7.76,-6.60
1.38,-6.90,-7.29
1.75,-6.57,-8.13
1.42,-7.98,-8.76
0.83,-8.43,-8.63
0.92,-7.15,-8.61
1.27,-6.44,-9.04
1.81,-6.11,-9.82
1.87,-6.29,-10.18
1.69,-5.81,-10.14
1.64,-5.58,-10.30
1.68,-5.39,-10.98
1.68,-5.19,-11.12
1.67,-5.06,-10.91
1.67,-4.88,-10.85
1.94,-4.47,-11.20
1.90,-4.68,-11.16
1.55,-4.28,-11.09
1.71,-4.62,-11.45
1.75,-4.92,-11.94
2.19,-4.76,-12.39
2.04,-4.54,-11.94
2.08,-4.41,-11.69
2.81,-4.55,-12.45
2.77,-5.03,-12.58
2.47,-4.47,-11.72
2.02,-4.62,-10.56
2.37,-4.56,-10.30
3.21,-4.19,-10.63
3.45,-4.95,-10.90
2.49,-5.21,-10.01
2.12,-6.40,-9.69
2.55,-6.11,-9.82
2.27,-6.84,-9.42
1.45,-7.32,-8.84
0.78,-6.55,-7.82
1.07,-7.19,-7.63
0.41,-7.53,-7.07
-0.81,-8.16,-5.94
-1.99,-7.52,-4.30
-0.99,-6.33,-3.28
-2.33,-6.97,-2.71
-3.06,-7.35,-2.64
-4.06,-7.45,-1.87
