0.94,0.69,7.91
1.07,0.49,7.94
0.75,0.52,8.20
0.53,0.62,8.36
0.52,0.57,8.62
0.43,0.60,8.79
0.53,0.61,8.74
0.55,0.59,8.66
0.60,0.50,8.52
0.69,0.33,8.43
0.74,0.34,8.60
0.77,0.43,8.60
0.77,0.48,8.55
0.74,0.59,8.56
0.73,0.57,8.56
0.79,0.64,8.61
0.73,0.74,8.67
0.69,0.65,8.88
0.59,0.62,8.91
0.63,0.60,8.91
0.61,0.45,9.02
0.68,0.49,9.22
0.87,0.20,9.12
0.79,0.12,8.81
0.45,0.36,8.32
0.30,0.37,8.31
0.28,0.14,8.93
0.29,-0.04,9.33
0.36,0.04,9.46
0.53,0.11,8.98
0.61,0.21,8.66
0.60,0.10,8.57
0.54,0.05,8.73
0.31,-0.01,9.05
0.27,0.11,8.95
0.25,0.12,9.04
0.41,0.09,9.10
0.30,0.03,8.95
0.28,-0.01,8.60
0.16,-0.18,8.44
0.11,-0.16,8.13
-0.06,-0.01,8.16
-0.06,0.12,8.17
-0.09,0.26,8.25
-0.04,0.52,8.41
0.04,0.51,8.53
0.14,0.39,8.64
0.16,0.26,8.50
0.13,0.22,8.34
0.08,0.11,8.41
0.09,0.15,8.42
0.07,0.24,8.51
0.00,0.24,8.68
-0.16,0.21,8.70
-0.24,0.28,8.76
-0.29,0.14,9.09
-0.24,0.19,9.02
0.07,0.38,8.88
-0.05,0.49,8.32
-0.06,0.45,8.34
0.02,0.42,8.46
0.16,0.31,8.81
0.10,0.40,8.78
0.10,0.44,8.75
0.20,0.33,8.72
0.26,0.22,8.91
0.25,0.13,8.87
0.25,0.19,8.53
0.31,0.36,8.30
0.23,0.48,8.50
0.26,0.42,8.83
0.34,0.54,9.07
0.48,0.74,8.93
0.56,0.73,9.01
0.62,0.74,8.84
0.63,0.72,8.81
0.51,0.74,8.63
0.50,0.71,8.50
0.53,0.82,8.59
0.46,0.78,8.51
0.36,0.75,8.76
0.32,0.73,8.65
0.36,0.73,8.66
0.22,0.78,8.54
0.32,0.63,8.68
0.32,0.77,8.59
0.38,0.80,8.55
0.38,0.77,8.52
0.37,0.79,8.59
0.44,0.51,8.89
0.48,0.58,8.75
0.37,0.70,8.44
0.34,0.73,8.29
0.31,0.65,8.54
0.15,0.57,8.80
0.19,0.58,8.89
0.23,0.62,8.93
0.36,0.58,8.95
0.35,0.49,8.77
0.40,0.36,8.51
0.34,0.43,8.51
0.29,0.40,8.57
0.31,0.44,8.63
0.31,0.40,8.72
0.30,0.46,8.45
0.27,0.44,8.56
0.23,0.41,8.64
0.33,0.31,9.01
0.34,0.21,9.12
0.40,0.14,9.02
0.36,0.06,8.75
0.28,0.15,8.32
0.10,0.23,8.28
0.06,0.36,8.57
-0.05,0.42,8.77
-0.06,0.54,8.72
-0.04,0.35,8.92
-0.03,0.29,9.17
-0.06,0.00,9.12
0.09,-0.10,8.96
0.18,-0.13,8.69
0.19,0.04,8.49
0.16,0.05,8.49
0.15,0.11,8.67
0.00,0.20,8.64
-0.11,0.29,8.59
-0.05,0.28,8.68
-0.07,0.29,8.83
0.05,0.39,8.89
0.01,0.28,8.82
0.01,0.28,8.69
0.16,0.24,8.78
0.13,0.24,8.60
-0.00,0.29,8.55
0.09,0.29,8.64
0.22,0.33,8.71
0.09,0.36,8.66
0.12,0.35,8.68
0.19,0.34,8.56
0.23,0.30,8.48
0.11,0.28,8.42
-0.04,0.30,8.37
-0.07,0.21,8.59
-0.14,0.07,8.86
-0.03,0.10,9.00
-0.09,0.20,8.65
-0.08,0.32,8.51
-0.01,0.32,8.54
0.03,0.38,8.73
0.18,0.48,8.69
0.23,0.62,8.53
0.37,0.44,8.60
0.35,0.34,8.75
0.48,0.29,8.77
0.53,0.27,8.78
0.43,0.23,8.74
0.40,0.02,8.63
0.39,-0.00,8.89
0.26,0.01,8.97
0.29,0.17,8.90
0.28,0.28,8.68
0.17,0.25,8.79
0.24,0.26,8.88
0.26,0.30,8.91
0.27,0.34,8.90
0.39,0.31,8.95
0.46,0.20,9.05
0.48,0.22,8.99
0.40,0.48,8.76
0.49,0.51,8.50
0.45,0.59,8.57
0.36,0.58,8.60
0.28,0.56,8.73
0.26,0.56,8.74
0.23,0.57,8.67
0.34,0.53,8.67
0.42,0.53,8.75
0.45,0.48,8.84
0.49,0.50,8.62
0.40,0.54,8.53
0.51,0.54,8.64
0.42,0.62,8.63
0.32,0.65,8.60
0.30,0.66,8.59
0.30,0.64,8.66
0.34,0.71,8.58
0.33,0.64,8.63
0.30,0.61,8.64
0.33,0.59,8.62
0.39,0.57,8.66
0.35,0.56,8.67
0.41,0.39,8.87
0.40,0.36,8.75
0.29,0.42,8.59
0.08,0.57,8.46
0.14,0.34,8.68
0.14,0.31,8.78
0.13,0.19,8.93
0.25,0.02,8.90
0.25,-0.00,8.61
0.25,0.20,8.42
0.48,0.13,8.47
0.40,0.27,8.57
0.39,0.28,8.62
0.46,0.23,8.68
0.39,0.23,9.04
0.38,0.23,8.61
0.32,0.09,8.57
0.16,0.27,8.50
0.22,0.15,8.69
0.22,0.27,8.87
0.13,0.32,8.65
0.16,0.26,8.54
0.21,0.11,8.62
0.11,0.17,8.54
0.21,0.22,8.72
0.34,0.30,8.83
0.30,0.33,8.73
0.32,0.27,8.61
0.38,0.24,8.73
0.28,0.23,8.86
0.38,0.27,8.81
0.37,0.37,8.65
0.34,0.34,8.64
0.22,0.29,8.76
0.13,0.23,8.85
0.15,0.26,8.77
0.18,0.26,8.81
0.17,0.23,8.75
0.25,0.28,8.71
0.42,0.30,8.83
0.50,0.26,8.68
0.34,0.20,8.62
0.34,0.27,8.48
0.46,0.19,8.64
0.44,0.08,8.84
0.50,0.24,8.80
0.38,0.29,8.51
0.34,0.42,8.37
0.45,0.31,8.60
0.49,0.23,8.88
0.66,0.16,9.01
0.62,0.17,8.99
0.69,0.13,8.82
0.74,0.05,8.74
0.75,0.02,8.77
0.83,0.16,8.92
0.82,0.21,8.94
0.76,0.29,8.69
0.80,0.29,8.63
0.79,0.33,8.72
0.85,0.28,8.95
0.81,0.28,9.02
0.85,0.39,8.88
0.85,0.39,8.74
0.88,0.47,8.64
0.79,0.35,8.58
0.74,0.37,8.61
0.68,0.39,8.61
0.68,0.45,8.56
0.63,0.38,8.65
0.73,0.37,8.65
0.81,0.40,8.71
0.74,0.47,8.66
0.85,0.52,8.52
0.89,0.60,8.43
0.92,0.61,8.40
0.80,0.43,8.43
0.75,0.50,8.61
0.71,0.54,8.71
0.80,0.52,8.66
0.65,0.61,8.76
0.65,0.61,8.58
0.65,0.68,8.66
0.71,0.64,8.74
0.69,0.58,8.82
0.68,0.54,8.80
0.71,0.46,8.88
0.59,0.52,8.72
0.63,0.49,8.60
0.59,0.58,8.72
0.70,0.61,8.77
0.85,0.66,8.97
0.88,0.59,8.83
0.87,0.48,8.88
0.76,0.35,8.67
0.71,0.52,8.64
0.66,0.50,8.58
0.57,0.47,8.64
0.55,0.35,8.68
0.59,0.29,8.60
0.53,0.24,8.66
0.60,0.11,8.87
0.68,0.04,8.90
0.74,-0.04,8.70
0.55,0.04,8.60
0.45,0.13,8.52
0.43,0.16,8.62
0.26,0.27,8.62
0.20,0.14,8.74
0.13,0.04,8.77
0.15,0.14,8.76
0.14,0.18,8.73
0.16,0.24,8.73
0.23,0.31,8.62
0.18,0.46,8.50
0.24,0.48,8.66
0.33,0.43,8.77
0.34,0.54,8.66
0.34,0.50,8.61
0.31,0.48,8.71
0.35,0.57,8.68
0.40,0.56,8.59
0.34,0.45,8.48
0.39,0.51,8.61
0.43,0.48,8.74
0.40,0.50,8.66
0.44,0.45,8.72
0.41,0.36,8.66
0.34,0.31,8.64
0.23,0.29,8.56
0.22,0.33,8.53
0.17,0.31,8.41
0.12,0.37,8.41
0.02,0.44,8.45
0.03,0.45,8.30
0.06,0.45,8.41
0.16,0.18,8.72
0.27,0.05,8.86
0.34,0.08,8.87
0.46,0.04,8.81
0.42,0.03,8.77
0.39,-0.03,8.74
0.54,0.03,8.86
0.61,-0.08,9.13
0.59,-0.02,9.05
0.58,0.03,8.95
0.65,0.06,8.73
0.59,0.02,8.69
0.63,-0.11,9.04
0.74,-0.22,9.17
0.74,-0.14,9.01
0.76,-0.15,8.66
0.79,-0.14,8.67
0.81,-0.13,8.72
0.78,-0.16,8.74
0.80,-0.01,8.69
0.88,0.13,8.72
0.94,0.19,8.76
0.95,0.28,8.87
0.94,0.36,8.62
0.91,0.35,8.66
0.83,0.25,8.53
0.82,0.24,8.64
0.85,0.27,8.67
0.81,0.32,8.64
0.80,0.32,8.66
0.75,0.45,8.65
0.84,0.43,8.61
0.81,0.45,8.64
0.82,0.39,8.91
0.85,0.41,8.73
0.81,0.49,8.56
0.72,0.35,8.60
0.62,0.36,8.74
0.66,0.40,8.75
0.74,0.46,8.72
0.66,0.50,8.66
0.61,0.42,8.70
0.57,0.44,8.52
0.69,0.43,8.87
0.85,0.42,9.23
0.97,0.38,9.22
0.75,0.25,8.43
0.58,0.21,8.30
0.61,-0.01,8.56
0.58,0.14,8.76
0.65,0.23,8.81
0.82,0.23,8.85
0.76,0.31,8.77
0.78,0.02,8.82
0.70,-0.02,8.88
0.59,0.01,8.84
0.56,0.02,8.94
0.37,0.05,8.81
0.28,0.11,8.81
0.26,0.24,8.70
0.28,0.37,8.60
0.20,0.53,8.49
0.02,0.44,8.49
0.10,0.45,8.36
0.01,0.53,8.43
-0.01,0.34,8.68
0.08,0.22,8.81
0.19,0.18,8.89
0.21,0.23,8.68
0.17,0.26,8.48
0.08,0.38,8.47
0.16,0.34,8.63
0.03,0.44,8.65
0.08,0.46,8.67
0.14,0.40,8.72
0.10,0.44,8.61
0.19,0.38,8.65
0.07,0.40,8.70
0.11,0.49,8.66
0.16,0.50,8.60
0.17,0.44,8.63
0.10,0.30,8.65
0.17,0.33,8.78
0.17,0.36,8.79
0.17,0.41,8.73
0.12,0.35,8.73
0.27,0.44,8.69
0.15,0.60,8.57
0.10,0.47,8.52
0.11,0.52,8.65
0.23,0.47,8.85
0.25,0.46,8.98
0.28,0.41,8.83
0.41,0.30,8.90
0.43,0.26,8.77
0.42,0.32,8.59
0.30,0.29,8.36
0.19,0.36,8.36
0.19,0.41,8.47
0.23,0.51,8.77
0.23,0.49,8.80
0.23,0.41,8.69
0.23,0.44,8.75
0.28,0.29,8.99
0.44,0.06,9.15
0.43,0.19,8.94
0.48,0.21,8.88
0.56,0.26,8.81
