-4.59,-5.15,-7.17
-3.42,-11.82,-10.89
0.55,-16.95,-9.93
5.14,-20.42,-7.10
5.97,-17.20,-7.66
5.01,-12.92,-8.42
4.30,-8.65,-6.97
2.61,-2.93,-5.88
-1.13,1.55,-5.58
-5.98,2.81,-8.28
-11.32,1.69,-10.93
-10.42,-0.02,-9.00
-6.01,-4.10,-8.39
-2.73,-11.19,-9.84
1.72,-20.24,-9.67
5.03,-22.05,-8.06
6.59,-18.72,-7.33
6.09,-14.04,-7.43
3.99,-8.38,-6.85
1.78,-2.17,-5.76
-2.09,1.98,-5.86
-6.09,5.23,-5.83
-9.07,5.72,-7.22
-8.76,4.49,-6.11
-6.02,-0.51,-7.80
-1.66,-10.94,-10.21
2.29,-25.74,-10.47
3.86,-24.59,-9.00
3.74,-20.08,-7.95
1.57,-13.30,-7.72
-2.90,-5.89,-7.00
-5.80,1.94,-6.01
-7.78,8.13,-3.88
-9.05,8.82,-5.49
-8.33,2.81,-9.43
-4.92,-2.55,-8.33
1.29,-10.48,-7.16
6.99,-23.42,-6.75
8.12,-27.74,-7.46
7.55,-22.58,-6.39
4.02,-14.38,-5.83
-1.68,-5.37,-6.37
-6.18,2.81,-6.09
-10.23,8.04,-8.05
-11.38,8.33,-8.49
-7.64,5.15,-7.94
-3.76,0.14,-6.02
4.00,-10.32,-6.80
11.10,-25.80,-5.77
11.60,-27.63,-6.08
9.87,-21.52,-5.66
2.85,-12.39,-6.65
-5.50,-2.75,-6.99
-11.25,4.52,-8.03
-13.11,7.00,-7.93
-10.05,2.96,-7.78
-6.62,-0.44,-6.52
-0.34,-5.88,-4.81
10.28,-17.75,-4.48
13.39,-25.49,-2.58
13.41,-21.33,-4.40
7.25,-15.21,-5.09
-1.06,-7.83,-6.05
-7.83,-2.60,-8.71
-12.08,1.36,-7.65
-13.81,3.80,-7.71
-14.14,4.93,-8.24
-10.63,2.75,-7.64
-3.02,-3.10,-7.47
7.69,-14.43,-6.73
14.66,-25.88,-3.94
15.41,-24.06,-3.28
11.07,-18.92,-2.83
5.08,-12.45,-4.77
-2.31,-6.80,-7.49
-9.93,-1.87,-9.81
-15.78,5.43,-8.59
-18.48,10.89,-7.51
-15.00,8.82,-8.89
-6.38,0.65,-8.44
6.58,-12.71,-6.46
14.41,-24.80,-3.52
13.75,-23.42,-3.86
13.26,-18.97,-1.67
8.03,-13.07,-3.40
1.56,-8.69,-5.51
-3.98,-5.13,-6.13
-9.76,-1.14,-7.24
-15.36,3.90,-8.41
-16.75,6.22,-8.08
-10.92,2.79,-7.52
-0.75,-6.52,-7.29
9.75,-18.60,-6.49
14.17,-23.29,-4.09
14.08,-20.49,-3.53
9.26,-15.73,-4.87
2.13,-9.57,-5.99
-5.61,-4.71,-7.36
-12.11,0.09,-8.39
-15.41,4.56,-6.92
-14.23,6.91,-6.14
-9.45,4.76,-7.28
-1.62,-3.59,-8.68
10.44,-17.31,-8.85
12.53,-28.77,-5.92
12.51,-23.15,-8.94
8.38,-17.63,-7.29
1.98,-10.35,-7.76
-4.63,-4.80,-8.40
-9.76,1.29,-8.01
-12.02,6.40,-6.22
-11.14,8.90,-3.83
-7.91,7.37,-3.62
-3.14,1.02,-5.63
4.42,-11.16,-7.24
7.91,-24.08,-9.35
6.72,-26.01,-9.72
4.22,-21.20,-9.61
0.49,-15.17,-9.64
-2.05,-10.06,-9.26
-2.95,-6.23,-8.09
-3.43,-2.75,-6.98
-3.98,1.99,-4.47
-4.57,7.86,-0.99
-5.72,10.94,1.19
